     obs      pred
162 17.7 18.235838
163 18.8 20.395317
164 23.4 24.523544
165 26.7 27.238639
166 28.3 26.674030
167 28.9 27.885467
168 31.1 36.091889
169 33.7 33.190370
170 35.2 36.439626
171 38.5 39.078830
172 46.3 48.297488
173 47.7 46.566304
174 25.5 24.177860
175 10.6  5.511141
176  2.0  2.300633
177  4.7  6.970330
178  6.8  6.599011
179  8.6  8.904310
180 11.2 11.333686
181 13.8 13.910800
182 17.7 15.927663
183 23.3 23.343726
184 29.0 34.404988
185 34.8 35.178474
186 47.8 47.211120
187 11.1 11.638641
188  2.9  3.882657
189  4.8  3.318818
190  5.6  5.468654
191  6.2  6.287654
192  6.4  6.466167
193  6.8  4.553087
194  7.1  8.407106
195  7.3  5.683731
196  7.9  8.357146
197  9.2 11.529770
198 10.1 11.858480
199 10.7 10.621488
200 11.2 11.166853
201 12.5 10.840993
202 14.3 14.181817
203 16.0 13.411433
204 17.0 17.339524
205 18.1 18.153875
206 19.4 20.752431
207 24.8 23.392994
208 27.2 26.550564
209 28.4 26.023005
210 29.2 29.379807
211 31.3 33.170105
212 33.8 32.130120
213 35.5 38.007296
214 42.5 40.427539
215 47.8 47.211120
